@relation 'BOOKKEEPER_training_iter_1-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommitRatio numeric
@attribute ' nSmell' numeric
@attribute ' isBuggy' {No,Yes}

@data
5,1,0,0,0,0,0,0,No
6,2,738,737,1,1,0,0,No
4,1,714,714,1,1,0,0,No
3,1,714,714,1,1,0,1,No
3,1,714,714,1,1,0,1,No
27,3,717,716,1,2,0,1,No
10,1,714,714,1,1,0,1,No
15,2,718,716,1,1,0,1,No
9,2,714,714,1,1,0,1,No
32,4,714,714,1,1,0,2,No
20,3,714,714,1,1,0,2,No
27,1,764,736,1,1,0,1,No
4,1,731,730,1,1,0,0,No
4,1,731,730,1,1,0,0,No
11,2,714,714,1,1,0,2,No
101,7,774,742,1,2,0,4,No
85,6,730,722,1,1,0,4,No
47,6,745,739,1,2,0,2,No
48,4,716,715,1,2,0,2,No
37,4,716,715,1,2,0,2,No
18,3,714,714,1,1,0,1,No
21,2,796,794,1,2,0,2,No
24,3,789,789,1,2,0,3,No
4,1,731,730,1,1,0,0,No
21,2,796,794,1,2,0,2,No
24,3,789,789,1,2,0,3,No
24,3,789,789,1,2,0,3,No
4,1,204,204,1,1,0,0,No
3,1,204,204,1,1,0,0,No
3,1,204,204,1,1,0,0,No
3,1,206,205,1,2,0,0,No
4,1,204,204,1,1,0,0,No
27,2,204,204,1,1,0,1,Yes
19,2,204,204,1,1,0,1,No
9,1,204,204,1,1,0,0,Yes
3,1,204,204,1,1,0,1,No
4,1,204,204,1,1,0,0,No
32,4,204,204,1,1,0,3,No
8,1,52,51,1,2,0,0,No
4,1,50,50,1,1,0,0,No
3,1,186,185,1,2,0,0,No
10,4,190,187,1,2,0,0,No
21,1,188,186,1,2,0,0,No
3,1,184,184,1,1,0,0,Yes
3,1,184,184,1,1,0,0,Yes
35,6,190,187,1,2,0,3,Yes
6,1,184,184,1,1,0,0,No
10,1,184,184,1,1,0,1,Yes
3,1,177,168,1,2,0,0,Yes
54,2,185,177,1,3,0,7,Yes
4,1,167,167,1,1,0,0,Yes
6,1,83,82,1,2,0,0,No
3,1,80,80,1,1,0,0,No
16,1,120,116,1,2,0,0,No
4,1,734,725,1,2,0,0,No
9,2,749,735,1,3,0,0,No
12,2,744,732,1,3,0,0,No
3,1,734,725,1,2,0,0,No
37,3,822,758,1,3,0,1,No
31,3,795,750,1,3,0,1,No
12,2,593,564,1,3,0,1,No
14,2,581,575,1,3,0,0,No
15,4,590,576,1,3,0,0,No
3,1,571,566,1,2,0,0,No
17,3,676,628,1,3,0,1,No
4,1,680,664,1,3,0,0,No
5,1,732,696,1,3,0,0,No
5,1,713,693,1,3,0,0,No
41,5,756,664,1,3,0,1,Yes
18,2,641,635,1,3,0,1,No
3,1,590,554,1,2,0,0,Yes
3,1,704,703,1,2,0,0,Yes
13,3,704,703,1,2,0,0,No
3,1,704,703,1,2,0,0,No
6,2,706,704,1,3,0,0,No
14,3,704,703,1,2,0,0,No
57,4,206,203,1,2,0,3,No
22,2,201,200,1,2,0,1,No
15,2,201,200,1,2,0,1,No
21,2,243,222,1,2,0,1,No
16,2,207,205,1,2,0,1,No
37,5,404,259,1,2,0,1,No
22,4,377,233,1,2,0,1,No
8,2,236,202,1,2,0,0,No
7,2,29,15,1,1,0,1,No
11,1,0,0,0,0,0,0,No
6,1,0,0,0,0,0,0,No
9,1,0,0,0,0,0,0,No
8,1,0,0,0,0,0,0,No
3,1,704,703,1,2,0,0,No
7,2,29,15,1,1,0,1,No
11,1,0,0,0,0,0,0,No
6,1,0,0,0,0,0,0,No
9,1,0,0,0,0,0,0,No
8,1,0,0,0,0,0,0,No
3,1,205,204,1,2,0,0,No
3,1,200,199,1,2,0,0,No
6,2,198,198,1,1,0,1,No
5,1,198,198,1,1,0,1,No
9,2,198,198,1,1,0,1,No
23,3,202,200,1,3,0,1,No
55,9,268,250,1,3,0.25,8,No
3,1,0,0,0,0,0,0,No
7,1,143,142,1,2,0,0,No
4,1,146,146,1,2,0,0,No
72,8,236,197,1,3,0,4,No
8,2,36,26,1,1,0,0,No
10,2,20,18,1,1,0,0,No
12,2,187,186,1,2,0,0,Yes
53,8,180,179,1,2,0,2,Yes
4,1,180,179,1,2,0,0,No
42,5,213,198,1,3,0,3,Yes
10,2,205,194,1,3,0,2,Yes
14,2,0,0,0,0,0,1,No
6,1,69,68,1,2,0,0,No
4,1,71,69,1,2,0,0,No
4,1,151,151,1,2,0,0,No
6,2,144,142,1,3,0,0,No
32,6,144,141,1,2,0,0,No
7,2,140,139,1,2,0,0,No
38,8,154,150,1,3,0,3,No
4,1,0,0,0,0,0,0,No
23,4,176,173,1,2,0,2,No
13,2,173,172,1,2,0,1,No
8,1,172,171,1,2,0,2,No
39,5,186,178,1,2,0,0,No
3,1,170,170,1,1,0,0,No
3,1,170,170,1,1,0,1,No
3,1,170,170,1,1,0,1,No
3,1,170,170,1,1,0,0,No
6,2,104,103,1,1,0,0,Yes
43,9,125,115,1,2,0,2,Yes
5,1,78,78,1,1,0,0,No
4,1,78,78,1,1,0,0,No
4,1,78,78,1,1,0,0,No
6,1,78,78,1,1,0,1,No
5,1,78,78,1,1,0,0,Yes
6,1,78,78,1,1,0,1,Yes
4,1,87,87,1,1,0,0,No
10,2,87,87,1,1,0,0,No
26,6,87,87,1,1,0,0,Yes
4,1,85,85,1,1,0,0,No
4,1,85,85,1,1,0,0,No
9,3,85,85,1,1,0,0,No
3,1,85,85,1,1,0,0,No
4,1,61,61,1,1,0,0,No
3,1,0,0,0,0,0,0,No
3,1,38,38,1,1,0,0,No
3,1,38,38,1,1,0,0,No
4,1,218,217,1,1,0,0,No
4,1,218,217,1,1,0,0,No
4,1,218,217,1,1,0,0,No
4,1,218,217,1,1,0,0,No
4,1,218,217,1,1,0,0,No
4,1,220,218,1,1,0,0,No
4,1,379,378,1,1,0,0,No
4,1,379,378,1,1,0,0,No
4,1,379,378,1,1,0,0,No
4,1,379,378,1,1,0,0,No
4,1,379,378,1,1,0,0,No
4,1,379,378,1,1,0,0,No
4,1,379,378,1,1,0,0,No
7,2,377,377,1,1,0,0,No
7,2,377,377,1,1,0,0,Yes
7,2,379,378,1,1,0,1,Yes
11,3,377,377,1,1,0,0,No
4,1,379,378,1,1,0,0,No
4,1,379,378,1,1,0,0,No
4,1,381,379,1,1,0,0,No
20,3,251,251,1,1,0,2,No
15,3,251,251,1,1,0,1,No
37,4,251,251,1,1,0,4,No
32,4,251,251,1,1,0,3,No
26,5,251,251,1,1,0,2,Yes
10,2,251,251,1,1,0,0,No
31,4,251,251,1,1,0,2,No
24,4,251,251,1,1,0,1,No
7,3,251,251,1,1,0,0,Yes
3,1,251,251,1,1,0,0,No
16,2,193,193,1,1,0,0,Yes
9,2,193,193,1,1,0,0,No
7,1,193,193,1,1,0,0,No
11,1,193,193,1,1,0,0,No
6,1,193,193,1,1,0,0,No
4,1,193,193,1,1,0,0,No
