@relation 'BOOKKEEPER_training_iter_2-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
5,1,147,147,0,0,1,1,0,0,No
6,1,147,147,0,0,1,1,0,0,No
5,1,147,147,0,0,1,1,0,0,No
6,1,147,147,0,0,1,1,0,0,No
6,1,147,147,0,0,1,1,0,0,No
5,1,147,147,0,0,1,1,0,0,No
6,1,147,147,0,0,1,1,0,0,No
5,1,147,147,0,0,1,1,0,0,No
5,1,147,147,0,0,1,1,0,0,No
6,1,147,147,0,0,1,1,0,0,No
5,1,147,147,0,0,1,1,0,0,No
40,19,253,253,0,0,1,2,0,0,No
42,20,253,253,0,0,1,2,0,0,No
7,2,461,448,0,4,1,2,0,0,Yes
7,1,450,447,0,1,1,3,0,0,Yes
4,1,461,459,0,1,1,3,0,0,No
22,2,674,647,0,7,1,3,0,1,No
4,1,612,609,0,1,1,2,0,0,Yes
4,1,613,610,0,1,1,3,0,0,Yes
19,2,661,644,0,6,1,3,0,0,No
20,2,262,259,0,6,1,2,0,0,No
3,1,262,259,0,1,1,2,0,0,Yes
12,2,262,259,0,7,1,2,0,1,No
13,3,61,61,0,4,1,1,0,0,Yes
6,1,0,0,0,3,0,0,0,0,No
9,1,0,0,0,4,0,0,0,1,No
5,1,0,0,0,2,0,0,0,0,No
6,1,0,0,0,3,0,0,0,0,No
9,1,0,0,0,4,0,0,0,1,No
5,1,0,0,0,2,0,0,0,0,No
6,2,738,737,0,4,1,1,0,0,No
4,1,714,714,0,1,1,1,0,0,No
3,1,714,714,0,0,1,1,0,1,No
3,1,714,714,0,0,1,1,0,1,No
27,3,717,716,0,5,1,2,0,1,No
10,1,714,714,0,2,1,1,0,1,No
15,2,718,716,0,7,1,1,0,1,No
9,2,714,714,0,6,1,1,0,1,No
32,4,714,714,0,10,1,1,0,2,No
20,3,714,714,0,9,1,1,0,2,No
27,1,764,736,0,4,1,1,0,1,No
4,1,731,730,0,1,1,1,0,0,No
4,1,731,730,0,1,1,1,0,0,No
11,2,714,714,0,5,1,1,0,2,No
101,7,774,742,0,24,1,2,0,4,No
85,6,730,722,0,21,1,1,0,4,No
47,6,745,739,0,12,1,2,0,2,No
48,4,716,715,0,17,1,2,0,2,No
37,4,716,715,0,16,1,2,0,2,No
18,3,714,714,0,6,1,1,0,1,No
21,2,796,794,0,12,1,2,0,2,No
24,3,789,789,0,11,1,2,0,3,No
4,1,731,730,0,1,1,1,0,0,No
21,2,796,794,0,12,1,2,0,2,No
24,3,789,789,0,11,1,2,0,3,No
24,3,789,789,0,11,1,2,0,3,No
4,1,204,204,0,1,1,1,0,0,No
3,1,204,204,0,1,1,1,0,0,No
3,1,204,204,0,1,1,1,0,0,No
3,1,206,205,0,2,1,2,0,0,No
4,1,204,204,0,1,1,1,0,0,No
27,2,204,204,0,5,1,1,0,1,Yes
19,2,204,204,0,8,1,1,0,1,No
9,1,204,204,0,3,1,1,0,0,Yes
3,1,204,204,0,1,1,1,0,1,No
4,1,204,204,0,2,1,1,0,0,No
32,4,204,204,0,3,1,1,0,3,No
8,1,52,51,0,4,1,2,0,0,No
