@relation 'OPENJPA_training_iter_1-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
8,1,233,233,0,3,1,1,0,0,No
8,1,233,233,0,3,1,1,0,0,No
8,1,241,241,0,3,1,2,1,0,No
7,1,8,8,0,3,1,1,1,0,No
7,1,127,127,1,1,1,1,0,0,No
2,1,127,127,0,0,1,1,0,0,No
4,1,127,127,0,1,1,1,0,0,No
4,1,127,127,0,1,1,1,0,0,No
7,3,127,127,0,3,1,1,0,0,No
3,1,127,127,0,0,1,1,0,0,No
3,1,127,127,0,1,1,1,0,0,No
6,2,127,127,0,2,1,1,0,0,No
8,2,60,59,0,5,1,2,1,0,No
5,1,168,168,0,1,1,1,0,0,No
10,2,168,168,0,4,1,1,0,0,No
11,2,168,168,0,3,1,1,0,0,No
14,1,168,168,0,4,1,1,0,0,No
3,1,168,168,0,0,1,1,0,0,No
18,2,168,168,0,5,1,1,0,0,No
30,5,170,169,0,16,1,2,0,2,No
4,2,321,314,0,0,1,2,1,0,No
13,2,292,286,0,14,1,2,1,0,No
11,1,285,285,0,15,1,1,0,0,No
10,4,287,286,0,2,1,2,1,1,No
8,3,291,288,0,2,1,2,1,0,No
10,4,287,286,0,2,1,2,1,1,No
9,3,289,287,0,2,1,2,1,0,No
9,3,289,287,0,2,1,2,1,0,No
9,3,289,287,0,2,1,2,1,0,No
9,3,289,287,0,2,1,2,1,0,No
31,10,359,356,0,3,1,2,1,0,No
3,2,355,354,0,1,1,2,1,0,No
14,3,359,356,0,5,1,2,1,0,No
7,4,353,353,0,5,1,2,0,1,No
10,2,357,355,0,3,1,2,1,0,No
10,2,357,355,0,3,1,2,1,0,No
10,2,9,4,0,3,1,1,1,0,No
3,1,52,2,0,1,1,1,1,0,No
9,3,0,0,7,2,0,0,0,0,No
18,5,1458,1458,0,11,1,1,0,0,Yes
2,1,1466,1462,0,0,1,1,0,0,No
2,1,1466,1462,0,0,1,1,0,0,No
11,4,1458,1458,0,5,1,1,0,0,No
14,3,1458,1458,1,5,1,1,0,0,No
16,5,1463,1461,2,4,1,1,0,0,No
4,1,1458,1458,0,2,1,1,0,0,No
4,2,1458,1458,0,1,1,1,0,0,No
4,1,1458,1458,1,1,1,1,0,0,No
6,1,1458,1458,0,3,1,1,0,0,No
14,2,1458,1458,0,5,1,1,0,2,No
8,1,1458,1458,0,4,1,1,0,0,No
4,1,1458,1458,0,3,1,1,0,0,No
12,1,1466,1462,0,2,1,2,1,0,No
78,23,1490,1473,0,21,1,2,1,1,Yes
12,3,1462,1460,0,4,1,2,1,0,No
11,2,1464,1461,0,5,1,2,1,0,Yes
20,2,1475,1465,0,10,1,2,1,0,No
5,1,1462,1460,0,3,1,2,1,0,No
25,6,1465,1461,0,11,1,2,1,0,No
60,11,1496,1475,0,19,1,3,1,0,Yes
5,4,1458,1458,0,4,1,1,0,1,No
4,1,1458,1458,0,1,1,1,0,0,No
3,1,1458,1458,0,0,1,1,0,0,No
3,1,1458,1458,0,2,1,1,0,0,No
20,3,1462,1460,0,6,1,2,0,1,No
15,5,1458,1458,0,9,1,1,0,0,No
9,2,1458,1458,0,4,1,1,0,0,No
5,2,1458,1458,0,1,1,1,0,0,No
3,1,1458,1458,0,0,1,1,0,0,No
4,1,1458,1458,0,3,1,1,0,0,No
3,1,1458,1458,0,2,1,1,0,0,No
3,1,1458,1458,0,1,1,1,0,0,No
74,13,1485,1469,0,9,1,2,1,2,No
4,1,1460,1459,0,1,1,2,1,0,No
15,3,1470,1464,0,2,1,2,1,0,No
8,3,1462,1460,0,2,1,1,0,0,Yes
3,1,1458,1458,0,0,1,1,0,0,No
6,3,1458,1458,0,2,1,1,0,0,No
3,1,1458,1458,0,0,1,1,0,0,No
4,2,1458,1458,1,1,1,1,0,0,No
15,3,1458,1458,2,5,1,1,0,0,Yes
3,1,1458,1458,1,1,1,1,0,0,No
11,4,1463,1461,0,3,1,2,1,0,No
19,4,1468,1462,0,5,1,2,1,0,Yes
9,5,1466,1462,0,5,1,2,1,0,Yes
43,12,1483,1469,0,17,1,3,1,3,Yes
39,9,1479,1469,0,12,1,2,1,1,No
60,26,1508,1483,0,16,1,3,1,1,No
9,5,1469,1464,0,5,1,2,1,0,No
84,25,1506,1483,0,25,1,3,1,1,No
8,6,1470,1463,0,7,1,2,1,0,No
52,12,1514,1485,0,13,1,3,1,2,No
13,5,1473,1466,0,6,1,2,0,1,No
20,3,1493,1458,0,8,1,2,0,0,No
3,1,1458,1458,0,1,1,1,0,0,No
3,1,1458,1458,0,1,1,1,0,0,No
4,1,1458,1458,1,1,1,1,0,0,No
4,2,1462,1460,0,1,1,1,0,1,No
5,4,1458,1458,2,1,1,1,0,0,No
4,1,1458,1458,1,0,1,1,0,0,No
11,3,1464,1460,1,3,1,1,0,0,No
15,2,1464,1460,2,2,1,1,0,0,No
