"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","sum_tp","sum_fp","sum_tn","sum_fn"
"naive bayes","no","1","0.5769075494549859","0.756484912652197","0.6546037562986716","0.42309497770726995","-0.10658047499617311","1429","460","179","1048"
"naive bayes","GreedyStepwise Backward + CFS","1","0.5744852644327816","0.755307855626327","0.6526026140793397","0.4233214746244479","-0.10931632648265557","1423","461","178","1054"
"IBK","GreedyStepwise Forward + CFS","1","0.964876867178038","0.7934926958831341","0.8708325742393879","0.5026257215837978","-0.012357740267500776","2390","622","17","87"
"IBK","BestFirst + CFS","1","0.9773920064594267","0.7948128693368351","0.8766974470396524","0.420710600118903","-0.0010435025455428478","2421","625","14","56"
"naive bayes","BestFirst + CFS","1","0.5744852644327816","0.755307855626327","0.6526026140793397","0.4233214746244479","-0.10931632648265557","1423","461","178","1054"
"random forest","GreedyStepwise Backward + CFS","1","0.98304400484457","0.7965325482499183","0.8800144560896278","0.4728371123885916","0.01454681586575505","2435","622","17","42"
"naive bayes","GreedyStepwise Forward + CFS","1","0.9713362939039161","0.7985396614669764","0.8765027322404372","0.42881173462521865","0.03109008373546943","2406","607","32","71"
"random forest","GreedyStepwise Forward + CFS","1","0.959628582963262","0.7949832775919733","0.86958112310225","0.4697722963628449","4.517004452216835E-4","2377","613","26","100"
"IBK","GreedyStepwise Backward + CFS","1","0.9773920064594267","0.7948128693368351","0.8766974470396524","0.420710600118903","-0.0010435025455428478","2421","625","14","56"
"random forest","no","1","0.9810254339927331","0.7951570680628273","0.8783661666365443","0.4941155026873212","0.002063382386252339","2430","626","13","47"
"random forest","BestFirst + CFS","1","0.98304400484457","0.7965325482499183","0.8800144560896278","0.4728371123885916","0.01454681586575505","2435","622","17","42"
"IBK","no","1","0.9773920064594267","0.7940308297802559","0.8762214983713356","0.4326906127926217","-0.008075600561895852","2421","628","11","56"
