"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","sum_tp","sum_fp","sum_tn","sum_fn"
"naive bayes","no","2","0.7561751141145532","0.8695241254766202","0.8065139729305539","0.5802846305959732","-0.0030526899798559506","8022","577","222","1503"
"naive bayes","GreedyStepwise Backward + CFS","2","0.7597170930563454","0.8686595308801054","0.8078631291654833","0.5901067503655724","-0.004324077056095187","8083","583","216","1442"
"IBK","GreedyStepwise Forward + CFS","2","0.9520752099794844","0.8869714664249794","0.9151264320472301","0.5444995360898558","0.023829923105887805","9010","754","45","515"
"IBK","BestFirst + CFS","2","0.9583327796201787","0.88763155315183","0.9180588684473623","0.5035419753574084","0.02948704196686677","9041","757","42","484"
"naive bayes","BestFirst + CFS","2","0.7597170930563454","0.8686595308801054","0.8078631291654833","0.5901067503655724","-0.004324077056095187","8083","583","216","1442"
"random forest","GreedyStepwise Backward + CFS","2","0.973077053500605","0.8875973006532175","0.925419127358315","0.5642280854933878","0.02147182633690306","9223","770","29","302"
"naive bayes","GreedyStepwise Forward + CFS","2","0.9581426077919126","0.8902754338004302","0.9198131882460321","0.5928518803659578","0.0658791280529673","9066","729","70","459"
"random forest","GreedyStepwise Forward + CFS","2","0.9613693425599511","0.886822665324245","0.9202024608646262","0.5626956774805144","0.014424268626636379","9165","761","38","360"
"IBK","GreedyStepwise Backward + CFS","2","0.9583327796201787","0.88763155315183","0.9180588684473623","0.5035419753574084","0.02948704196686677","9041","757","42","484"
"random forest","no","2","0.9801551687557309","0.8869432532600012","0.928686629417563","0.5580825988181215","0.022182526453614924","9332","776","23","193"
"random forest","BestFirst + CFS","2","0.973077053500605","0.8875973006532175","0.925419127358315","0.5642280854933878","0.02147182633690306","9223","770","29","302"
"IBK","no","2","0.9489684209368643","0.886823658888316","0.9126919795272668","0.4791614421795118","0.012671443442473698","8909","763","36","616"
