"Index","MethodName","MethodSignature","LOC","CyclomaticComplexity","Churn","LocAdded","fan-in","fan-out","NewcomerRisk","Auth","WeekendCommit","nSmell","isBuggy"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::recoveryAddEntry","(ByteBuffer, WriteCallback, Object, byte[])","11","1","0","0","0","3","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::addEntry","(ByteBuffer, WriteCallback, Object, byte[])","15","2","0","0","0","5","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::fenceLedger","(long)","6","1","0","0","0","2","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::readEntry","(long, long)","11","2","0","0","0","5","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::writeComplete","(int, long, long, InetSocketAddress, Object)","6","2","2","1","0","1","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::incCount","()","3","1","0","0","0","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::waitZero","()","5","2","0","0","0","1","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::run","()","68","8","80","66","0","18","1.0","3","0","1","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::accept","(long)","8","2","46","45","0","0","1.0","2","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::shutdown","()","9","2","88","71","0","3","1.0","3","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::setLastLogMark","(long, long)","4","1","44","32","0","0","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::markLog","()","3","1","44","32","0","0","1.0","1","0","0","No"
