Index,MethodName,LOC,CyclomaticComplexity,Churn,LocAdded,NewcomerRisk,Auth,WeekendCommitRatio, nSmell, isBuggy
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::waitZero",5,2,0,0,0.0,0,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::run",68,8,625,611,1.0,3,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::accept",8,2,591,590,1.0,2,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::shutdown",9,2,633,616,1.0,3,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::setLastLogMark",4,1,44,32,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::markLog",3,1,44,32,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::rollLog",23,2,46,33,1.0,1,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::readLog",23,3,10,10,1.0,1,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::writeComplete",6,2,2,1,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::incCount",3,1,0,0,0.0,0,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::waitZero",5,2,0,0,0.0,0,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java::create",10,4,91,87,1.0,3,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java::getMessage",12,5,89,86,1.0,3,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java::write",24,5,176,172,1.0,2,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java::position",3,1,168,168,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java::size",3,1,168,168,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java::flush",14,3,168,168,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java::read",59,16,175,173,1.0,2,0.3333333333333333,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::run",24,5,551,536,1.0,2,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::doGcLedgers",13,1,547,534,1.0,3,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::gc",8,1,545,533,1.0,2,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::doGcEntryLogs",36,4,645,550,1.0,3,0.0,3,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::createLogId",17,2,498,497,1.0,2,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::setLastLogId",14,1,490,488,1.0,2,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::getLastLogId",22,1,487,487,1.0,1,0.0,1,Yes
