Index,MethodName,LOC,CyclomaticComplexity,Churn,LocAdded,NewcomerRisk,Auth,WeekendCommit, nSmell, isBuggy
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::write",19,4,0,0,0.0,0,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::use",3,1,0,0,0.0,0,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::release",10,3,0,0,0.0,0,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::putIntoTable",8,2,540,538,1.0,2,0,3,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getFromTable",7,2,538,537,1.0,2,0,3,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getLedgerEntryPage",13,4,536,536,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::putEntryOffset",20,3,542,539,1.0,3,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getEntryOffset",22,3,542,539,1.0,3,0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getLedgerName",12,1,538,537,1.0,2,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::checkParents",9,3,536,536,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::pickDirs",3,1,536,536,1.0,1,0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getFileInfo",40,8,540,538,1.0,2,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::updatePage",19,4,536,536,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::flushLedger",100,19,547,542,1.0,3,0,6,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::compare",4,1,536,536,1.0,1,0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::writeBuffers",30,8,542,539,1.0,3,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::grabCleanPage",56,11,544,540,1.0,3,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getLastEntry",22,4,540,538,1.0,3,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getActiveLedgers",24,5,543,538,1.0,3,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::deleteLedger",29,2,540,538,1.0,2,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::cmpMasterKey",3,1,135,134,1.0,2,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::incRef",3,1,133,133,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::decRef",3,1,133,133,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::setFenced",3,1,144,143,1.0,3,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::addEntry",21,2,134,134,1.0,2,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::readEntry",44,9,141,137,1.0,3,0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::close",2,1,0,0,0.0,0,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::usePage",3,1,151,151,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::pin",3,1,151,151,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::unpin",3,1,151,151,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::releasePage",6,2,151,151,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::checkPage",5,2,151,151,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::setOffset",6,1,151,151,1.0,1,0,0,No
