"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","5","0.9650","0.9475","0.9552","0.6456","0.0847","0.9158","55894","3042","342","2053","0.4600","0.3250"
"naive bayes","GreedyStepwise Backward + CFS","5","0.9983","0.9439","0.9697","0.4765","0.0071","0.9427","57861","3346","38","86","0.3534","0.3284"
"IBK","GreedyStepwise Forward + CFS","5","0.9910","0.9437","0.9659","0.5084","0.0091","0.9354","57415","3351","33","532","0.3736","0.3580"
"IBK","BestFirst + CFS","5","0.9910","0.9437","0.9659","0.5084","0.0091","0.9354","57415","3351","33","532","0.3736","0.3580"
"naive bayes","BestFirst + CFS","5","0.9983","0.9439","0.9697","0.4765","0.0071","0.9427","57861","3346","38","86","0.3534","0.3284"
"random forest","GreedyStepwise Backward + CFS","5","0.9915","0.9436","0.9661","0.5131","0.0037","0.9357","57445","3362","22","502","0.2785","0.2401"
"naive bayes","GreedyStepwise Forward + CFS","5","0.9983","0.9439","0.9697","0.4765","0.0071","0.9427","57861","3346","38","86","0.3534","0.3284"
"random forest","GreedyStepwise Forward + CFS","5","0.9915","0.9436","0.9661","0.5131","0.0037","0.9357","57445","3362","22","502","0.2785","0.2401"
"IBK","GreedyStepwise Backward + CFS","5","0.9910","0.9437","0.9659","0.5084","0.0091","0.9354","57415","3351","33","532","0.3736","0.3580"
"random forest","no","5","0.9872","0.9453","0.9648","0.6099","0.0546","0.9334","57203","3247","137","744","0.1905","0.0331"
"random forest","BestFirst + CFS","5","0.9915","0.9436","0.9661","0.5131","0.0037","0.9357","57445","3362","22","502","0.2785","0.2401"
"IBK","no","5","0.9829","0.9456","0.9629","0.5440","0.0605","0.9298","56953","3219","165","994","0.2265","0.0826"
