"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","8","0.9665","0.9018","0.9313","0.6467","0.0894","0.8753","86008","9417","1080","3018","0.4635","0.3294"
"naive bayes","GreedyStepwise Backward + CFS","8","0.9980","0.8985","0.9442","0.5098","0.0352","0.8978","88861","10035","462","165","0.5934","0.5771"
"IBK","GreedyStepwise Forward + CFS","8","0.9937","0.8968","0.9411","0.5153","0.0236","0.8916","88442","10227","270","584","0.2353","0.2238"
"IBK","BestFirst + CFS","8","0.9937","0.8968","0.9411","0.5153","0.0236","0.8916","88442","10227","270","584","0.2353","0.2238"
"naive bayes","BestFirst + CFS","8","0.9980","0.8985","0.9442","0.5098","0.0352","0.8978","88861","10035","462","165","0.5934","0.5771"
"random forest","GreedyStepwise Backward + CFS","8","0.9940","0.8964","0.9410","0.5304","0.0177","0.8914","88469","10272","225","557","0.2965","0.2705"
"naive bayes","GreedyStepwise Forward + CFS","8","0.9980","0.8985","0.9442","0.5098","0.0352","0.8978","88861","10035","462","165","0.5934","0.5771"
"random forest","GreedyStepwise Forward + CFS","8","0.9940","0.8964","0.9410","0.5304","0.0177","0.8914","88469","10272","225","557","0.2965","0.2705"
"IBK","GreedyStepwise Backward + CFS","8","0.9937","0.8968","0.9411","0.5153","0.0236","0.8916","88442","10227","270","584","0.2353","0.2238"
"random forest","no","8","0.9909","0.8966","0.9395","0.6047","0.0409","0.8887","88190","10258","239","836","0.1630","0.0207"
"random forest","BestFirst + CFS","8","0.9940","0.8964","0.9410","0.5304","0.0177","0.8914","88469","10272","225","557","0.2965","0.2705"
"IBK","no","8","0.9872","0.8980","0.9385","0.5356","0.0557","0.8872","87856","10069","428","1170","0.2016","0.0516"
