"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","7","0.9656","0.9139","0.9375","0.6536","0.0986","0.8861","75858","7139","974","2733","0.4632","0.3289"
"naive bayes","GreedyStepwise Backward + CFS","7","0.9977","0.9105","0.9508","0.5107","0.0402","0.9097","78426","7651","462","165","0.5356","0.5170"
"IBK","GreedyStepwise Forward + CFS","7","0.9929","0.9087","0.9473","0.5178","0.0271","0.9027","78009","7843","270","582","0.2688","0.2557"
"IBK","BestFirst + CFS","7","0.9929","0.9087","0.9473","0.5178","0.0271","0.9027","78009","7843","270","582","0.2688","0.2557"
"naive bayes","BestFirst + CFS","7","0.9977","0.9105","0.9508","0.5107","0.0402","0.9097","78426","7651","462","165","0.5356","0.5170"
"random forest","GreedyStepwise Backward + CFS","7","0.9932","0.9082","0.9472","0.5352","0.0202","0.9025","78036","7888","225","555","0.3388","0.3092"
"naive bayes","GreedyStepwise Forward + CFS","7","0.9977","0.9105","0.9508","0.5107","0.0402","0.9097","78426","7651","462","165","0.5356","0.5170"
"random forest","GreedyStepwise Forward + CFS","7","0.9932","0.9082","0.9472","0.5352","0.0202","0.9025","78036","7888","225","555","0.3388","0.3092"
"IBK","GreedyStepwise Backward + CFS","7","0.9929","0.9087","0.9473","0.5178","0.0271","0.9027","78009","7843","270","582","0.2688","0.2557"
"random forest","no","7","0.9900","0.9083","0.9456","0.6125","0.0460","0.8995","77787","7889","224","804","0.1704","0.0237"
"random forest","BestFirst + CFS","7","0.9932","0.9082","0.9472","0.5352","0.0202","0.9025","78036","7888","225","555","0.3388","0.3092"
"IBK","no","7","0.9860","0.9099","0.9446","0.5347","0.0632","0.8980","77467","7700","413","1124","0.2077","0.0590"
