"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","10","0.9639","0.9191","0.9392","0.6452","0.0876","0.8890","110547","9697","1158","4202","0.4655","0.3318"
"naive bayes","GreedyStepwise Backward + CFS","10","0.9954","0.9160","0.9525","0.4948","0.0266","0.9126","114206","10393","462","543","0.5726","0.5587"
"IBK","GreedyStepwise Forward + CFS","10","0.9947","0.9147","0.9514","0.5128","0.0219","0.9103","114134","10582","273","615","0.1905","0.1790"
"IBK","BestFirst + CFS","10","0.9947","0.9147","0.9514","0.5128","0.0219","0.9103","114134","10582","273","615","0.1905","0.1790"
"naive bayes","BestFirst + CFS","10","0.9954","0.9160","0.9525","0.4948","0.0266","0.9126","114206","10393","462","543","0.5726","0.5587"
"random forest","GreedyStepwise Backward + CFS","10","0.9951","0.9144","0.9513","0.5267","0.0152","0.9102","114172","10629","226","577","0.3305","0.3075"
"naive bayes","GreedyStepwise Forward + CFS","10","0.9954","0.9160","0.9525","0.4948","0.0266","0.9126","114206","10393","462","543","0.5726","0.5587"
"random forest","GreedyStepwise Forward + CFS","10","0.9951","0.9144","0.9513","0.5267","0.0152","0.9102","114172","10629","226","577","0.3305","0.3075"
"IBK","GreedyStepwise Backward + CFS","10","0.9947","0.9147","0.9514","0.5128","0.0219","0.9103","114134","10582","273","615","0.1905","0.1790"
"random forest","no","10","0.9918","0.9152","0.9501","0.6056","0.0435","0.9081","113801","10522","333","948","0.1498","0.0166"
"random forest","BestFirst + CFS","10","0.9951","0.9144","0.9513","0.5267","0.0152","0.9102","114172","10629","226","577","0.3305","0.3075"
"IBK","no","10","0.9882","0.9157","0.9487","0.5296","0.0519","0.9055","113377","10414","441","1372","0.1902","0.0413"
