"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","3","0.9645","0.9269","0.9440","0.6379","0.0952","0.8957","31832","2510","269","1205","0.4735","0.3419"
"naive bayes","GreedyStepwise Backward + CFS","3","0.9972","0.9222","0.9574","0.4846","0.0118","0.9203","32951","2741","38","86","0.2599","0.2212"
"IBK","GreedyStepwise Forward + CFS","3","0.9889","0.9219","0.9531","0.5063","0.0091","0.9117","32653","2752","27","384","0.6178","0.5967"
"IBK","BestFirst + CFS","3","0.9889","0.9219","0.9531","0.5063","0.0091","0.9117","32653","2752","27","384","0.6178","0.5967"
"naive bayes","BestFirst + CFS","3","0.9972","0.9222","0.9574","0.4846","0.0118","0.9203","32951","2741","38","86","0.2599","0.2212"
"random forest","GreedyStepwise Backward + CFS","3","0.9896","0.9217","0.9533","0.5107","0.0037","0.9122","32680","2761","18","357","0.4593","0.4002"
"naive bayes","GreedyStepwise Forward + CFS","3","0.9972","0.9222","0.9574","0.4846","0.0118","0.9203","32951","2741","38","86","0.2599","0.2212"
"random forest","GreedyStepwise Forward + CFS","3","0.9896","0.9217","0.9533","0.5107","0.0037","0.9122","32680","2761","18","357","0.4593","0.4002"
"IBK","GreedyStepwise Backward + CFS","3","0.9889","0.9219","0.9531","0.5063","0.0091","0.9117","32653","2752","27","384","0.6178","0.5967"
"random forest","no","3","0.9818","0.9244","0.9508","0.6190","0.0727","0.9076","32411","2655","124","626","0.2299","0.0552"
"random forest","BestFirst + CFS","3","0.9896","0.9217","0.9533","0.5107","0.0037","0.9122","32680","2761","18","357","0.4593","0.4002"
"IBK","no","3","0.9777","0.9247","0.9490","0.5627","0.0771","0.9043","32272","2635","144","765","0.2775","0.1376"
