"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","14","0.9539","0.9378","0.9438","0.6362","0.0758","0.8966","167909","10600","1347","8520","0.4566","0.3208"
"naive bayes","GreedyStepwise Backward + CFS","14","0.9868","0.9350","0.9584","0.5021","0.0180","0.9229","173815","11454","493","2614","0.6794","0.6656"
"IBK","GreedyStepwise Forward + CFS","14","0.9865","0.9340","0.9577","0.5130","0.0146","0.9215","173760","11657","290","2669","0.1484","0.1279"
"IBK","BestFirst + CFS","14","0.9865","0.9340","0.9577","0.5130","0.0146","0.9215","173760","11657","290","2669","0.1484","0.1279"
"naive bayes","BestFirst + CFS","14","0.9868","0.9350","0.9584","0.5021","0.0180","0.9229","173815","11454","493","2614","0.6794","0.6656"
"random forest","GreedyStepwise Backward + CFS","14","0.9870","0.9338","0.9579","0.5268","0.0102","0.9217","173857","11696","251","2572","0.3057","0.2802"
"naive bayes","GreedyStepwise Forward + CFS","14","0.9868","0.9350","0.9584","0.5021","0.0180","0.9229","173815","11454","493","2614","0.6794","0.6656"
"random forest","GreedyStepwise Forward + CFS","14","0.9870","0.9338","0.9579","0.5268","0.0102","0.9217","173857","11696","251","2572","0.3057","0.2802"
"IBK","GreedyStepwise Backward + CFS","14","0.9865","0.9340","0.9577","0.5130","0.0146","0.9215","173760","11657","290","2669","0.1484","0.1279"
"random forest","no","14","0.9837","0.9344","0.9566","0.5871","0.0315","0.9193","173269","11577","370","3160","0.1363","0.0119"
"random forest","BestFirst + CFS","14","0.9870","0.9338","0.9579","0.5268","0.0102","0.9217","173857","11696","251","2572","0.3057","0.2802"
"IBK","no","14","0.9793","0.9350","0.9547","0.5100","0.0445","0.9159","172460","11413","534","3969","0.1705","0.0295"
