"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","9","0.9633","0.9117","0.9349","0.6407","0.0836","0.8814","98109","9522","1106","3826","0.4648","0.3310"
"naive bayes","GreedyStepwise Backward + CFS","9","0.9949","0.9086","0.9482","0.4986","0.0296","0.9048","101392","10166","462","543","0.6359","0.6207"
"IBK","GreedyStepwise Forward + CFS","9","0.9942","0.9072","0.9470","0.5132","0.0235","0.9023","101327","10356","272","608","0.2111","0.1989"
"IBK","BestFirst + CFS","9","0.9942","0.9072","0.9470","0.5132","0.0235","0.9023","101327","10356","272","608","0.2111","0.1989"
"naive bayes","BestFirst + CFS","9","0.9949","0.9086","0.9482","0.4986","0.0296","0.9048","101392","10166","462","543","0.6359","0.6207"
"random forest","GreedyStepwise Backward + CFS","9","0.9946","0.9068","0.9469","0.5275","0.0170","0.9023","101366","10402","226","569","0.3668","0.3417"
"naive bayes","GreedyStepwise Forward + CFS","9","0.9949","0.9086","0.9482","0.4986","0.0296","0.9048","101392","10166","462","543","0.6359","0.6207"
"random forest","GreedyStepwise Forward + CFS","9","0.9946","0.9068","0.9469","0.5275","0.0170","0.9023","101366","10402","226","569","0.3668","0.3417"
"IBK","GreedyStepwise Backward + CFS","9","0.9942","0.9072","0.9470","0.5132","0.0235","0.9023","101327","10356","272","608","0.2111","0.1989"
"random forest","no","9","0.9911","0.9070","0.9453","0.6040","0.0385","0.8992","101014","10386","242","921","0.1560","0.0184"
"random forest","BestFirst + CFS","9","0.9946","0.9068","0.9469","0.5275","0.0170","0.9023","101366","10402","226","569","0.3668","0.3417"
"IBK","no","9","0.9873","0.9082","0.9442","0.5286","0.0521","0.8973","100610","10195","433","1325","0.1948","0.0459"
