"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","4","0.9643","0.9402","0.9509","0.6501","0.0916","0.9081","43637","2751","310","1648","0.4724","0.3404"
"naive bayes","GreedyStepwise Backward + CFS","4","0.9979","0.9360","0.9652","0.4753","0.0089","0.9346","45199","3023","38","86","0.1962","0.1659"
"IBK","GreedyStepwise Forward + CFS","4","0.9914","0.9359","0.9619","0.5094","0.0129","0.9280","44888","3030","31","397","0.4652","0.4475"
"IBK","BestFirst + CFS","4","0.9914","0.9359","0.9619","0.5094","0.0129","0.9280","44888","3030","31","397","0.4652","0.4475"
"naive bayes","BestFirst + CFS","4","0.9979","0.9360","0.9652","0.4753","0.0089","0.9346","45199","3023","38","86","0.1962","0.1659"
"random forest","GreedyStepwise Backward + CFS","4","0.9920","0.9357","0.9621","0.5139","0.0073","0.9284","44917","3040","21","368","0.3453","0.3001"
"naive bayes","GreedyStepwise Forward + CFS","4","0.9979","0.9360","0.9652","0.4753","0.0089","0.9346","45199","3023","38","86","0.1962","0.1659"
"random forest","GreedyStepwise Forward + CFS","4","0.9920","0.9357","0.9621","0.5139","0.0073","0.9284","44917","3040","21","368","0.3453","0.3001"
"IBK","GreedyStepwise Backward + CFS","4","0.9914","0.9359","0.9619","0.5094","0.0129","0.9280","44888","3030","31","397","0.4652","0.4475"
"random forest","no","4","0.9846","0.9377","0.9594","0.6156","0.0585","0.9235","44573","2932","129","712","0.2079","0.0414"
"random forest","BestFirst + CFS","4","0.9920","0.9357","0.9621","0.5139","0.0073","0.9284","44917","3040","21","368","0.3453","0.3001"
"IBK","no","4","0.9803","0.9381","0.9575","0.5463","0.0687","0.9199","44374","2904","157","911","0.2455","0.1032"
