"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","1","0.9838","0.8483","0.9111","0.5814","0.0664","0.8382","9721","1738","110","160","0.4925","0.3656"
"naive bayes","GreedyStepwise Backward + CFS","1","0.9927","0.8438","0.9122","0.5136","0.0163","0.8390","9809","1816","32","72","0.7310","0.6637"
"IBK","GreedyStepwise Forward + CFS","1","0.9999","0.8426","0.9146","0.5156","0.0026","0.8426","9880","1845","3","1","0.8745","0.8431"
"IBK","BestFirst + CFS","1","0.9999","0.8426","0.9146","0.5156","0.0026","0.8426","9880","1845","3","1","0.8745","0.8431"
"naive bayes","BestFirst + CFS","1","0.9927","0.8438","0.9122","0.5136","0.0163","0.8390","9809","1816","32","72","0.7310","0.6637"
"random forest","GreedyStepwise Backward + CFS","1","0.9999","0.8424","0.9144","0.4941","-0.0002","0.8424","9880","1848","0","1","0.4050","0.2563"
"naive bayes","GreedyStepwise Forward + CFS","1","0.9927","0.8438","0.9122","0.5136","0.0163","0.8390","9809","1816","32","72","0.7310","0.6637"
"random forest","GreedyStepwise Forward + CFS","1","0.9999","0.8424","0.9144","0.4941","-0.0002","0.8424","9880","1848","0","1","0.4050","0.2563"
"IBK","GreedyStepwise Backward + CFS","1","0.9999","0.8426","0.9146","0.5156","0.0026","0.8426","9880","1845","3","1","0.8745","0.8431"
"random forest","no","1","1.0000","0.8424","0.9145","0.5619","0.0000","0.8424","9881","1848","0","0","0.3138","0.1423"
"random forest","BestFirst + CFS","1","0.9999","0.8424","0.9144","0.4941","-0.0002","0.8424","9880","1848","0","1","0.4050","0.2563"
"IBK","no","1","0.9993","0.8429","0.9145","0.5740","0.0061","0.8425","9874","1840","8","7","0.5302","0.4128"
