"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","12","0.9553","0.9296","0.9402","0.6476","0.0820","0.8903","137725","10205","1273","6799","0.4634","0.3293"
"naive bayes","GreedyStepwise Backward + CFS","12","0.9872","0.9266","0.9540","0.5014","0.0223","0.9150","142401","10988","490","2123","0.6306","0.6157"
"IBK","GreedyStepwise Forward + CFS","12","0.9882","0.9255","0.9539","0.5140","0.0176","0.9147","142617","11194","284","1907","0.1678","0.1492"
"IBK","BestFirst + CFS","12","0.9882","0.9255","0.9539","0.5140","0.0176","0.9147","142617","11194","284","1907","0.1678","0.1492"
"naive bayes","BestFirst + CFS","12","0.9872","0.9266","0.9540","0.5014","0.0223","0.9150","142401","10988","490","2123","0.6306","0.6157"
"random forest","GreedyStepwise Backward + CFS","12","0.9885","0.9253","0.9539","0.5296","0.0130","0.9146","142653","11233","245","1871","0.3505","0.3269"
"naive bayes","GreedyStepwise Forward + CFS","12","0.9872","0.9266","0.9540","0.5014","0.0223","0.9150","142401","10988","490","2123","0.6306","0.6157"
"random forest","GreedyStepwise Forward + CFS","12","0.9885","0.9253","0.9539","0.5296","0.0130","0.9146","142653","11233","245","1871","0.3505","0.3269"
"IBK","GreedyStepwise Backward + CFS","12","0.9882","0.9255","0.9539","0.5140","0.0176","0.9147","142617","11194","284","1907","0.1678","0.1492"
"random forest","no","12","0.9857","0.9254","0.9526","0.5997","0.0311","0.9121","142255","11208","270","2269","0.1414","0.0138"
"random forest","BestFirst + CFS","12","0.9885","0.9253","0.9539","0.5296","0.0130","0.9146","142653","11233","245","1871","0.3505","0.3269"
"IBK","no","12","0.9810","0.9265","0.9510","0.5195","0.0490","0.9092","141542","10977","501","2982","0.1786","0.0344"
