"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","6","0.9648","0.9301","0.9459","0.6607","0.1115","0.9006","65759","4881","870","2423","0.4635","0.3294"
"naive bayes","GreedyStepwise Backward + CFS","6","0.9973","0.9265","0.9596","0.5110","0.0469","0.9255","68017","5289","462","165","0.4599","0.4387"
"IBK","GreedyStepwise Forward + CFS","6","0.9918","0.9243","0.9556","0.5172","0.0317","0.9174","67609","5482","269","573","0.3131","0.2984"
"IBK","BestFirst + CFS","6","0.9918","0.9243","0.9556","0.5172","0.0317","0.9174","67609","5482","269","573","0.3131","0.2984"
"naive bayes","BestFirst + CFS","6","0.9973","0.9265","0.9596","0.5110","0.0469","0.9255","68017","5289","462","165","0.4599","0.4387"
"random forest","GreedyStepwise Backward + CFS","6","0.9922","0.9238","0.9554","0.5370","0.0238","0.9172","67635","5526","225","547","0.3940","0.3607"
"naive bayes","GreedyStepwise Forward + CFS","6","0.9973","0.9265","0.9596","0.5110","0.0469","0.9255","68017","5289","462","165","0.4599","0.4387"
"random forest","GreedyStepwise Forward + CFS","6","0.9922","0.9238","0.9554","0.5370","0.0238","0.9172","67635","5526","225","547","0.3940","0.3607"
"IBK","GreedyStepwise Backward + CFS","6","0.9918","0.9243","0.9556","0.5172","0.0317","0.9174","67609","5482","269","573","0.3131","0.2984"
"random forest","no","6","0.9887","0.9238","0.9536","0.6190","0.0523","0.9136","67399","5544","207","783","0.1796","0.0276"
"random forest","BestFirst + CFS","6","0.9922","0.9238","0.9554","0.5370","0.0238","0.9172","67635","5526","225","547","0.3940","0.3607"
"IBK","no","6","0.9845","0.9255","0.9526","0.5326","0.0713","0.9120","67110","5372","379","1072","0.2155","0.0688"
