"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","2","0.7286","0.8655","0.7874","0.5897","-0.0017","0.6989","7848","552","247","1677","0.2954","0.1192"
"naive bayes","GreedyStepwise Backward + CFS","2","0.7301","0.8643","0.7874","0.5897","-0.0069","0.7003","7889","559","240","1636","0.2130","0.1125"
"IBK","GreedyStepwise Forward + CFS","2","0.9458","0.8872","0.9112","0.4882","0.0154","0.8394","8862","759","40","663","0.3207","0.1508"
"IBK","BestFirst + CFS","2","0.9415","0.8869","0.9093","0.4901","0.0126","0.8365","8841","756","43","684","0.2257","0.0754"
"naive bayes","BestFirst + CFS","2","0.7301","0.8643","0.7874","0.5897","-0.0069","0.7003","7889","559","240","1636","0.2130","0.1125"
"random forest","GreedyStepwise Backward + CFS","2","0.9815","0.8869","0.9290","0.5585","0.0207","0.8715","9322","780","19","203","0.2265","0.0938"
"naive bayes","GreedyStepwise Forward + CFS","2","0.9400","0.8918","0.9126","0.5943","0.0749","0.8448","8929","698","101","596","0.3800","0.2250"
"random forest","GreedyStepwise Forward + CFS","2","0.9753","0.8869","0.9265","0.5637","0.0207","0.8678","9291","772","27","234","0.3500","0.1875"
"IBK","GreedyStepwise Backward + CFS","2","0.9415","0.8869","0.9093","0.4901","0.0126","0.8365","8841","756","43","684","0.2257","0.0754"
"random forest","no","2","0.9871","0.8863","0.9313","0.5529","0.0117","0.8755","9385","789","10","140","0.3236","0.1545"
"random forest","BestFirst + CFS","2","0.9815","0.8869","0.9290","0.5585","0.0207","0.8715","9322","780","19","203","0.2265","0.0938"
"IBK","no","2","0.9359","0.8863","0.9059","0.4978","0.0066","0.8303","8763","758","41","762","0.2998","0.1248"
