@relation 'BOOKKEEPER_fullDataset-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M0.0-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
5,1,0,0,0,0,0,0,0,0,No
5,1,0,0,0,0,0,0,0,0,No
5,1,0,0,0,0,0,0,0,0,No
6,1,0,0,0,0,0,0,0,0,No
5,1,0,0,0,0,0,0,0,0,No
6,1,0,0,0,0,0,0,0,0,No
6,1,0,0,0,0,0,0,0,0,No
5,1,0,0,0,0,0,0,0,0,No
6,1,0,0,0,0,0,0,0,0,No
5,1,0,0,0,0,0,0,0,0,No
5,1,0,0,0,0,0,0,0,0,No
6,1,0,0,0,0,0,0,0,0,No
5,1,0,0,0,0,0,0,0,0,No
40,19,4,4,0,0,1,1,0,0,No
42,20,4,4,0,0,1,1,0,0,No
7,2,51,38,0,4,1,1,0,0,Yes
7,1,40,37,0,1,1,2,0,0,Yes
4,1,51,49,0,1,1,2,0,0,No
22,2,264,237,0,7,1,2,0,1,No
4,1,202,199,0,1,1,1,0,0,Yes
4,1,203,200,0,1,1,2,0,0,Yes
19,2,251,234,0,6,1,2,0,0,No
20,2,262,259,0,6,1,2,0,0,No
3,1,262,259,0,1,1,2,0,0,Yes
12,2,262,259,0,7,1,2,0,1,No
13,3,61,61,0,4,1,1,0,0,Yes
6,1,0,0,0,3,0,0,0,0,No
9,1,0,0,0,4,0,0,0,1,No
5,1,0,0,0,2,0,0,0,0,No
6,1,0,0,0,3,0,0,0,0,No
9,1,0,0,0,4,0,0,0,1,No
5,1,0,0,0,2,0,0,0,0,No
6,2,738,737,0,4,1,1,0,0,No
4,1,714,714,0,1,1,1,0,0,No
3,1,714,714,0,0,1,1,0,1,No
3,1,714,714,0,0,1,1,0,1,No
27,3,717,716,0,5,1,2,0,1,No
10,1,714,714,0,2,1,1,0,1,No
15,2,718,716,0,7,1,1,0,1,No
9,2,714,714,0,6,1,1,0,1,No
32,4,714,714,0,10,1,1,0,2,No
20,3,714,714,0,9,1,1,0,2,No
27,1,764,736,0,4,1,1,0,1,No
4,1,731,730,0,1,1,1,0,0,No
4,1,731,730,0,1,1,1,0,0,No
11,2,714,714,0,5,1,1,0,2,No
101,7,774,742,0,24,1,2,0,4,No
85,6,730,722,0,21,1,1,0,4,No
47,6,745,739,0,12,1,2,0,2,No
48,4,716,715,0,17,1,2,0,2,No
37,4,716,715,0,16,1,2,0,2,No
18,3,714,714,0,6,1,1,0,1,No
21,2,796,794,0,12,1,2,0,2,No
24,3,789,789,0,11,1,2,0,3,No
4,1,731,730,0,1,1,1,0,0,No
21,2,796,794,0,12,1,2,0,2,No
24,3,789,789,0,11,1,2,0,3,No
24,3,789,789,0,11,1,2,0,3,No
4,1,0,0,0,1,0,0,0,0,No
3,1,0,0,0,1,0,0,0,0,No
3,1,0,0,0,1,0,0,0,0,No
3,1,2,1,0,2,1,1,0,0,No
4,1,0,0,0,1,0,0,0,0,No
27,2,0,0,0,5,0,0,0,1,Yes
19,2,0,0,0,8,0,0,0,1,No
9,1,0,0,0,3,0,0,0,0,Yes
3,1,0,0,0,1,0,0,0,1,No
4,1,0,0,0,2,0,0,0,0,No
32,4,0,0,0,3,0,0,0,3,No
8,1,2,1,0,4,1,1,0,0,No
4,1,0,0,1,1,0,0,0,0,No
3,1,2,1,0,1,1,1,0,0,No
10,4,6,3,0,0,1,1,0,0,No
21,1,4,2,0,11,1,1,0,0,No
3,1,0,0,0,1,0,0,0,0,Yes
3,1,0,0,0,1,0,0,0,0,Yes
35,6,6,3,0,9,1,1,0,3,Yes
6,1,0,0,0,2,0,0,0,0,No
10,1,0,0,0,3,0,0,0,1,Yes
3,1,10,1,0,2,1,1,0,0,Yes
54,2,18,10,0,13,1,2,0,7,Yes
4,1,0,0,0,2,0,0,0,0,Yes
6,1,3,2,0,4,1,1,0,0,No
3,1,0,0,0,1,0,0,0,0,No
16,1,37,33,0,3,1,1,0,0,No
4,1,187,178,1,0,1,1,0,0,No
9,2,202,188,0,8,1,2,0,0,No
12,2,197,185,0,5,1,2,0,0,No
3,1,187,178,0,1,1,1,0,0,No
37,3,275,211,0,11,1,2,0,1,No
31,3,248,203,0,10,1,2,0,1,Yes
12,2,46,17,0,5,1,2,0,1,No
14,2,34,28,0,6,1,2,0,0,No
15,4,43,29,0,2,1,2,0,0,No
3,1,24,19,0,1,1,1,0,0,No
17,3,129,81,1,6,1,2,0,1,No
4,1,133,117,0,1,1,2,0,0,No
5,1,185,149,0,1,1,2,0,0,No
5,1,166,146,0,2,1,2,0,0,No
41,5,209,117,0,11,1,2,0,1,Yes
18,2,94,88,0,9,1,2,0,1,Yes
3,1,43,7,0,1,1,1,0,0,Yes
3,1,157,156,1,0,1,1,0,0,Yes
13,3,157,156,0,6,1,1,0,0,No
3,1,157,156,0,1,1,1,0,0,No
6,2,159,157,1,2,1,2,0,0,No
14,3,157,156,0,3,1,1,0,0,No
57,4,206,203,0,13,1,2,0,3,Yes
22,2,201,200,0,6,1,2,0,1,No
15,2,201,200,0,5,1,2,0,1,Yes
21,2,243,222,0,9,1,2,0,1,No
16,2,207,205,0,5,1,2,0,1,No
37,5,404,259,0,10,1,2,0,1,No
22,4,377,233,0,7,1,2,0,1,No
8,2,236,202,0,2,1,2,0,0,Yes
7,2,29,15,0,3,1,1,0,1,No
11,1,0,0,0,4,0,0,0,0,No
6,1,0,0,0,2,0,0,0,0,No
9,1,0,0,0,3,0,0,0,0,No
8,1,0,0,0,3,0,0,0,0,No
3,1,157,156,1,0,1,1,0,0,No
7,2,29,15,0,3,1,1,0,1,No
11,1,0,0,0,4,0,0,0,0,No
6,1,0,0,0,2,0,0,0,0,No
9,1,0,0,0,3,0,0,0,0,No
8,1,0,0,0,3,0,0,0,0,No
3,1,7,6,0,0,1,1,0,0,No
3,1,2,1,0,0,1,1,0,0,No
6,2,0,0,0,3,0,0,0,1,No
5,1,0,0,0,3,0,0,0,1,No
9,2,0,0,0,3,0,0,0,1,No
23,3,4,2,0,9,1,2,0,1,No
55,9,70,52,0,8,1,3,1,8,No
3,1,0,0,0,1,0,0,0,0,No
7,1,3,2,1,4,1,1,0,0,No
4,1,6,6,0,1,1,1,0,0,No
72,8,96,57,0,14,1,2,0,4,No
8,2,36,26,0,1,1,1,0,0,No
10,2,20,18,0,1,1,1,0,0,No
12,2,9,8,1,3,1,1,0,0,Yes
53,8,2,1,0,7,1,1,0,2,Yes
4,1,2,1,1,1,1,1,0,0,No
42,5,35,20,0,11,1,2,0,3,Yes
10,2,27,16,0,6,1,2,0,2,Yes
14,2,0,0,0,4,0,0,0,1,No
6,1,2,1,0,4,1,1,0,0,No
4,1,4,2,1,1,1,1,0,0,No
4,1,13,13,0,0,1,1,0,0,No
6,2,6,4,0,2,1,2,0,0,No
32,6,6,3,0,4,1,1,0,0,No
7,2,2,1,0,2,1,1,0,0,Yes
38,8,16,12,0,8,1,2,0,3,Yes
4,1,0,0,0,2,0,0,0,0,Yes
23,4,6,3,0,7,1,1,0,2,Yes
13,2,3,2,0,4,1,1,0,1,No
8,1,2,1,0,5,1,1,0,2,Yes
39,5,16,8,0,9,1,1,0,0,Yes
3,1,0,0,0,1,0,0,0,0,No
3,1,0,0,0,1,0,0,0,1,No
3,1,0,0,0,1,0,0,0,1,No
3,1,0,0,1,1,0,0,0,0,No
6,2,104,103,0,3,1,1,0,0,Yes
43,9,125,115,0,7,1,2,0,2,Yes
5,1,78,78,0,0,1,1,0,0,No
4,1,78,78,0,1,1,1,0,0,No
4,1,78,78,0,1,1,1,0,0,No
6,1,78,78,1,2,1,1,0,1,No
5,1,78,78,0,1,1,1,0,0,Yes
6,1,78,78,0,2,1,1,0,1,Yes
4,1,0,0,0,0,0,0,0,0,No
10,2,0,0,0,1,0,0,0,0,No
26,6,0,0,0,1,0,0,0,0,Yes
