Release_Index,MethodName,LOC,Parameters_Count,Fan_Out,Cyclomatic_Complexity,LCOM,Churn,LOC_Added,Newcomer_Risk,n_Auth,Weekend_Commit,isBuggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::writeComplete,6,5,1,2,24,2,1,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::incCount,3,0,0,1,24,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::waitZero,5,0,1,2,24,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::run,68,0,18,8,2,625,611,1.0,3,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::accept,8,1,0,2,2,591,590,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::shutdown,9,0,3,2,2,633,616,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::setLastLogMark,4,2,0,1,5,44,32,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::markLog,3,0,0,1,5,44,32,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::rollLog,23,0,9,2,5,46,33,1.0,1,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::readLog,23,0,6,3,5,10,10,1.0,1,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::writeComplete,6,5,1,2,3,2,1,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::incCount,3,0,0,1,3,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::waitZero,5,0,1,2,3,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java::create,10,1,0,4,3,91,87,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java::getMessage,12,1,0,5,3,89,86,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java::write,24,1,8,5,6,176,172,1.0,2,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java::position,3,0,0,1,6,168,168,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java::size,3,0,1,1,6,168,168,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java::flush,14,1,5,3,6,168,168,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java::read,59,2,9,16,6,175,173,1.0,2,1,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::run,24,0,6,5,12,551,536,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::doGcLedgers,13,0,3,1,12,547,534,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::gc,8,1,2,1,12,545,533,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::doGcEntryLogs,36,0,12,4,12,645,550,1.0,3,0,3,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::createLogId,17,1,11,2,12,498,497,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::setLastLogId,14,2,4,1,12,490,488,1.0,2,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::getLastLogId,22,1,3,1,12,487,487,1.0,1,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::openNewChannel,3,0,1,1,12,489,488,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::flush,5,0,1,2,12,487,487,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::addEntry,14,2,7,2,12,487,487,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::readEntry,42,3,12,6,12,495,491,1.0,3,0,2,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::getChannelForLogId,21,1,7,3,12,489,488,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::findFile,9,1,2,2,12,491,489,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::testAndClearSomethingWritten,7,0,0,1,12,487,487,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::extractLedgersFromEntryLogs,64,0,15,8,12,548,520,1.0,3,0,6,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::shutdown,12,0,4,1,12,489,488,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::run,24,0,6,5,3,551,536,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::doGcLedgers,13,0,3,1,3,547,534,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::gc,8,1,2,1,3,545,533,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java::doGcEntryLogs,36,0,12,4,3,645,550,1.0,3,0,3,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::writeMasterKey,15,1,6,3,10,173,173,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::readMasterKey,19,0,5,4,10,179,176,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::size,7,0,0,2,10,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::read,3,2,1,1,10,4,4,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::readAbsolute,13,2,2,3,10,4,3,1.0,1,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::close,6,0,1,2,10,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::write,19,2,3,4,10,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::use,3,0,0,1,10,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::release,10,0,2,3,10,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::putIntoTable,8,2,4,2,18,540,538,1.0,2,0,3,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getFromTable,7,3,1,2,18,538,537,1.0,2,0,3,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getLedgerEntryPage,13,3,3,4,18,536,536,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::putEntryOffset,20,3,6,3,18,542,539,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getEntryOffset,22,2,6,3,18,542,539,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getLedgerName,12,1,3,1,18,538,537,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::checkParents,9,1,3,3,18,536,536,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::pickDirs,3,1,1,1,18,536,536,1.0,1,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getFileInfo,40,2,15,8,18,540,538,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::updatePage,19,1,8,4,18,536,536,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::flushLedger,100,1,25,19,18,547,542,1.0,3,0,6,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::compare,4,2,1,1,18,536,536,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::writeBuffers,30,5,9,8,18,542,539,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::grabCleanPage,56,2,20,11,18,544,540,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getLastEntry,22,1,6,4,18,540,538,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getActiveLedgers,24,0,9,5,18,543,538,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::deleteLedger,29,1,8,2,18,540,538,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::cmpMasterKey,3,1,1,1,10,135,134,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::incRef,3,0,0,1,10,133,133,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::decRef,3,0,0,1,10,133,133,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::setFenced,3,0,0,1,10,144,143,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::addEntry,21,1,4,2,10,134,134,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::readEntry,44,1,13,9,10,141,137,1.0,3,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::close,2,0,0,1,10,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::usePage,3,0,0,1,22,151,151,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::pin,3,0,0,1,22,151,151,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::unpin,3,0,0,1,22,151,151,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::releasePage,6,0,0,2,22,151,151,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::checkPage,5,0,0,2,22,151,151,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::setOffset,6,2,2,1,22,151,151,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::getOffset,4,1,2,1,22,151,151,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::zeroPage,6,0,4,1,22,151,151,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::readPage,10,1,7,3,22,151,151,1.0,1,0,0,No
