"rank","attribute_name","attribute_index","score"
"1","LocAdded","3","0,117804"
"2","Auth","7","0,108520"
"3","NewcomerRisk","6","0,108362"
"4","Churn","2","0,099403"
"5","fan-out","5","0,085934"
"6","LOC","0","0,074128"
"7","CyclomaticComplexity","1","0,054610"
"8","nSmell","9","0,036675"
"9","fan-in","4","0,030263"
"10","WeekendCommit","8","0,024464"
